id,times
200,"['19th dyn', '20th dyn']"
201,"['19th dyn', '20th dyn']"
202,['19th dyn']
203,['19th dyn']
204,['19th dyn']
205,"['19th dyn', '20th dyn']"
206,"['19th dyn', '20th dyn']"
207,"['19th dyn', '20th dyn', '21st dyn']"
208,"['19th dyn', '20th dyn', '21st dyn']"
209,"['18th dyn', '19th dyn', '20th dyn', '21st dyn']"
210,"['12th dyn', '19th dyn', '20th dyn', '21st dyn']"
211,"['19th dyn', '20th dyn', '21st dyn']"
212,"['19th dyn', '20th dyn', '21st dyn']"
213,['19th dyn']
214,['19th dyn']
215,['19th dyn']
216,['19th dyn']
217,"['11th dyn', '18th dyn', '19th dyn', '21st dyn']"
218,['19th dyn']
219,['19th dyn']
220,"['11th dyn', '12th dyn', '18th dyn', '19th dyn', '20th dyn', '21st dyn']"
223,"['11th dyn', '18th dyn', '19th dyn']"
224,['19th dyn']
225,['19th dyn']
226,['19th dyn']
227,['19th dyn']
228,['19th dyn']
229,['20th dyn']
230,['20th dyn']
231,['20th dyn']
232,['20th dyn']
233,"['18th dyn', '19th dyn']"
234,['19th dyn']
235,['19th dyn']
236,"['18th dyn', '19th dyn']"
237,"['18th dyn', '19th dyn']"
238,['20th dyn']
239,['12th dyn']
240,['12th dyn']
242,['19th dyn']
243,['19th dyn']
244,['19th dyn']
245,"['19th dyn', '20th dyn']"
246,"['19th dyn', '20th dyn', '21st dyn']"
247,['12th dyn']
248,"['18th dyn', '19th dyn', '20th dyn']"
249,['12th dyn']
250,['12th dyn']
251,['12th dyn']
252,['12th dyn']
253,['12th dyn']
254,"['12th dyn', '18th dyn']"
255,['12th dyn']
256,['12th dyn']
257,['12th dyn']
258,['12th dyn']
259,['12th dyn']
260,['12th dyn']
261,['12th dyn']
262,['12th dyn']
263,"['12th dyn', '18th dyn']"
264,['12th dyn']
265,['12th dyn']
266,['12th dyn']
267,['12th dyn']
268,['12th dyn']
269,['12th dyn']
270,['12th dyn']
271,"['11th dyn', '12th dyn']"
272,['12th dyn']
273,['12th dyn']
274,['12th dyn']
275,"['11th dyn', '12th dyn', '12th dyn']"
276,['12th dyn']
277,['12th dyn']
278,['12th dyn']
280,"['11e dyn', '12th dyn', '12th dyn', '25th dyn', '26th dyn']"
283,['12th dyn']
284,['12th dyn']
285,['12th dyn']
287,['12th dyn']
288,['12th dyn']
289,['12th dyn']
290,['12th dyn']
291,['12th dyn']
292,['12th dyn']
293,['12th dyn']
294,['12th dyn']
295,['12th dyn']
296,['12th dyn']
297,['12th dyn']
298,"['12th dyn', '18th dyn']"
299,['12th dyn']
