id,title,image,DE,AR,EN,FR,comment
ID 2050,ʿwnw,https://app.vega-lexique.fr/api/files/1064198f-c67b-40b6-88df-6435f52b3002.svg,Betrüger; Räuber,خَتَّال ، مُخَادِع ؛  نَهّاب ، سَلاّب ،,cheater; plunderer,fourbe ; pillard,"Probablement participe formé sur ʿwn « être avide ; tromper ; voler ».
Voir également ʿwn.t « avide, cupide » et ʿwnty « avide »."
ID 2051,bnw,https://app.vega-lexique.fr/api/files/0dde4b6a-c76c-42f7-89a1-69a2c5a52ab3.svg,"Erde, Boden, Urerde",تُرَاب ، تُرْبَة ، أرض بِدائِيَّة,"earth, soil, primeval earth","terre, sol, terre primordiale","Sur ce mot, cf. Meeks, « Dictionnaires et lexicographie de l'Égyptien Ancien. Méthodes et résultats », BiOr 56 n°5/6, col. 579."
ID 2052,wȝs,https://app.vega-lexique.fr/api/files/2a8497af-974e-4844-9b70-f80b466acad3.svg,(Bedeutung unbekannt),(معنى غير معروف),(meaning unknown),(sens inconnu),"Verbe. 
Attesté uniquement sur oLiverpool 13625, vo, l. 8 ; cf. Černý, Gardiner, Hieratic Ostraca I, Oxford, 1957, pl. LXIII [3].
Voir wsj « scier, débiter »."
ID 2053,bnbn,https://app.vega-lexique.fr/api/files/e1b13990-a078-4e45-8d70-b4f26af29397.svg,(wie der Benben-Vogel) rufen,عمل صَوْت ، صاح ( كالطائر بن-بن),"to make noise, to shriek (as a benben-bird)","faire du bruit, crier (comme l'oiseau-benben)","Attesté uniquement dans une formule nouvelle des Textes des Pyramides (P/A/E 30) [1036] ; cf. Berger el-Naggar, Leclant, Mathieu, Pierre-Croisiau, Les textes de la pyramide de Pépy Ier, MIFAO 118/1, 2001, p. 142 et pl. IX.
Le hiéroglyphe de l'oiseau n'est pas tout à fait le même que sur l'original.
Cf. bn « (un oiseau) »."
ID 2054,wȝs,https://app.vega-lexique.fr/api/files/a7f2d7c6-35d2-48ef-b332-bfa1e785f09f.svg,"Herrschaft, Wohlergehen",سلطة ، تحكُم ، سيطرة,"power, dominion","pouvoir, domination","Notamment dans l'expression šsp wȝs « recevoir le pouvoir ».
Voir wȝs « sceptre-ouas » et wȝs « exercer un pouvoir, détenir un pouvoir ; devenir heureux »."
ID 2055,wȝs,https://app.vega-lexique.fr/api/files/e0bf134e-878a-4e04-95b8-25bfd3ce0d61.svg,"herrschen, mächtig sein; glücklich sein",مارَسَ السلطة ؛ أصبح سعيداً,"to exercise power, to have dominion; to be happy","exercer un pouvoir, détenir un pouvoir ; devenir heureux","Voir wȝs « pouvoir, domination », wȝs « sceptre-ouas », wȝs « (une subdivision de phylé) » et peut-être wȝsty.w « citoyens, habitants »."
ID 2056,ȝȝȝ / tjȝtj / tyw,https://app.vega-lexique.fr/api/files/cd1a9ba1-d492-4278-b6ce-602b3c034725.svg,(Bedeutung unbekannt),(معنى غير معروف),(meaning unknown),(sens inconnu),"Attesté uniquement dans les Textes des Pyramides.
Lecture incertaine selon qu'il s'agisse de trois signes du vautour percnoptère (G1, cf. 1re graphie) ou du busard (G4, cf. 2e graphie).
Hannig (ÄWb) définit ce terme comme un « mot magique ».
Allen (A New Concordance of the Pyramid Texts, Providence, 2013, passim) propose de lire tjȝtj et de traduire « le Long » (id., The Ancient Egyptian Pyramid Texts, WAW 23, 2005, passim).
En revanche, le LGG lit tyw.
Notamment dans l'expression ȝȝȝ / tjȝtj / tyw š.y, qu'Allen (op. cit., p. 53) traduit « le Long des lacs »."
ID 2057,bnf,https://app.vega-lexique.fr/api/files/86fe267c-9b89-46cb-9ae1-674e8021f74e.svg,(Bedeutung unbekannt),(معنى غير معروف),(meaning unknown),(sens inconnu),"Attesté uniquement en Pyr. 1464b [N570 B] (P/D post/W 68 = P 782).
Pour le Wb, à lire bn(w)=f « sa partie du corps-bénou » (mot à supprimer).
Noter toutefois que pour Mathieu (Les textes de la pyramide de Pépy Ier. Traduction, MIFAO 142, 2018, p. 513-514 et 574), il pourrait s'agir d'une occurrence de bnf « bile, fiel »."
ID 2058,wȝsj,https://app.vega-lexique.fr/api/files/7b4a92ce-1ca1-450b-a28b-66d55f598466.svg,verfallen sein; zu Grunde gehen, تَخَرَّبَ ؛ اِضْمَحَلَّ,to be ruined; to decay,tomber en ruines ; dépérir,"Les graphies présentant un signe m intrusif (cf. 2e-3e graphies) sont très fréquentes ; cf. Biston-Moulin, « Un nouvel exemplaire de la Stèle de la restauration de Toutânkhamon à Karnak », CahKarn 15, 2016, p. 26, n. 16.
Pour Lesko (DLE²), il s'agit d'une confusion avec le sceptre ḏʿm.
Cf. wȝs « misérable », wȝs.t « ruines » et ḏʿm « tomber en ruines ; dépérir »."
ID 2059,wȝs.t,https://app.vega-lexique.fr/api/files/b99ca92e-9993-4648-b59f-d220f0149f0d.svg,Ruinen,حُطَام,ruins,ruines,"Attesté uniquement dans l'Inscription dédicatoire de Ramsès II dans le temple d'Abydos, col. 75 (KRI II, 331, 5).
Meeks et le TLA (pastille rouge) renvoient à wȝsj « tomber en ruines ; dépérir ».
Cf. également wȝs « misérable »."
