id,title,publication_date,status,image,DE,AR,EN,FR,comment,fuente de transliteración
ID 10100,š(ȝ),"Published the Nov 25, 2024 at 16:13",validated,https://app.vega-lexique.fr/api/files/32a769cc-ce3b-437a-8e56-427b45883d3c.svg,(Endsilbe des ethnischen Namen),(لاحِقَة ما لأسماء الشعوب والأعراق),(terminal syllabe of ethnic names),(terminaison d’ethnonymes),"Syllabe finale spécifique à certains ethnonymes.Nombre d’entre eux appartiennent aux « Peuples de la mer » (nȝ ḫȝsty.w n(y.w) pȝ ym) venus du Nord. Par exemple :Jqȝwȝš / Jqwš « Akaouach (un peuple) » ;Wšš « Ouchech (un peuple) » ;Škrš / Šklš « Chékérech / Chékélech (un peuple) » ;Twrš « Tourech / Toulech (un peuple) ».Selon Wainwright (« Some Sea-peoples », JEA 47, 1961, p. 71-90), la présence de cette terminaison marque l’appartenance de ces peuplades à un groupe commun, provenant d’une vaste zone, située entre le sud de la Lydie et le nord de la Carie.Outre ces populations, noter également l’usage de cette syllabe finale dans les ethnonymes :Mšwš « Méchouech (un peuple) », désignant une tribu libyenne très active durant le Nouvel Empire et la période tardive ;Qrqš « Qéréqech (un peuple) », apparemment présent lors de la bataille de Qadesh, durant le règne de Ramsès II.Sur ces peuples, voir aussi l’étude de Lipiński, Peuples de la Mer, Phéniciens, Puniques. Études d’épigraphie et d’histoire méditerranéenne, OLA 237, 2015.Noter que Grandet (Harris I/2, p. 240-243, n. 918) propose d'y voir un nominatif d'origine indo-européenne.",[]
ID 10101,jtnw,"Published the Jul 27, 2020 at 15:07",problematic,https://app.vega-lexique.fr/api/files/1fb81aff-c311-405d-bd14-acbfe77dcfb4.svg,"behaart, flaumig, fusselig",أَشْعَر ، رِيشِيّ ، مُوَبَّر,"hairy, fluffy, fuzzy","chevelu, duveteux, pelucheux","Attesté uniquement sur un panneau en bois appartenant au coffre Caire JE 61447 découvert dans la tombe de Toutânkhamon (KV62) ; cf. Černý, Hieratic Inscriptions from the Tomb of Tut'ankhamun, TTSO 2, 1965, p. 13, 27 et pl. VIII (no 56).La possible attestation relevée par Meeks en Edfou I, 126, 6, est une occurrence de jwn « couleur ; apparence ; forme, nature, caractère », le signe du pain (X1) relevé dans la première édition devant être corrigé par celui du poisson boulti (K1) ; cf. Edfou I2, 126a, n. d.","['Lesko (L.H.), A Dictionary of Late Egyptian, 2e éd., Berkeley, 2002-2004 (2 vol.).', 'Meeks (D.), Année Lexicographique. Égypte ancienne, 2e éd., Paris, 1998 (3 vol.).', None, None]"
ID 10102,jtnw,"Published the Jul 27, 2020 at 15:08",problematic,https://app.vega-lexique.fr/api/files/c0e8ad0a-d00f-41dd-9056-6db216e2f4ac.svg,Loch (?) (einer Schlange),جُحْر (؟) (لثُعبان ما),(snake's) hole (?),trou (?) (d’un serpent),"Attesté dans le papyrus magique Harris (= pBM EA 10042) ro 5, 10 (cf. Leitz, Magical and Medical Papyri, p. 38 et pl. 16 ; 1re graphie) et dans pEbers 98, 8 [Eb 849] (cf. Grundriss 5, p. 528 ; 2e graphie) selon le Grundriss 7.Pour Leitz (op. cit., p. 38, n. 52), l’occurrence du papyrus magique Harris pourrait simplement être une variante de jwtn « sol, terre ; poussière ».Noter que pour les dictionnaires et les traducteurs, comme Bardinet (Les papyrus médicaux de l’Égypte pharaonique, Paris, 1995, p. 362), l’attestation du papyrus Ebers est une occurrence de jtnw « cendre (?), poussière (?) ».Pastille rouge pour le TLA qui renvoie à jtn « sol, terre ; poussière ».Cf. également jkn / jkn.w « tombes (?) », jtnw « (sens inconnu) », jtn.wt « (sens inconnu) » et Wr-jtn.wt « (un serpent sacré) ».","['Erman (A.), Grapow (H.), Wörterbuch des Ægyptischen Sprache im Auftrage der Deutschen Akademien, Leipzig, 1935-1959 (réimpr. 1971) (5 vol.).', 'Deines (H. von), Westendorf (W.), Wörterbuch der medizinischen Texte, Grundriss der Medizin der Alten Ägypten 7, Berlin, 1961-1962 (2 vol.).', None]"
ID 10103,jtnw / jṯnw / jṯnwt,"Published the Jul 27, 2020 at 15:09",problematic,https://app.vega-lexique.fr/api/files/1ca50306-347c-4e8b-8ac5-d7ac68c2f6f0.svg,(ein Baum),(شجرة ما),(a tree),(un arbre),"Attesté uniquement en CT VII, 256a [1029].Translittération de la 3e graphie incertaine.Pour Faulkner (The Ancient Egyptian Coffin Texts III, Warminster, 1978, p. 127, n. 8), probablement même mot que jtnw-s / jṯnw-s « (un arbre) », la graphie jṯnwt résultant sans doute d’une confusion entre le s final et le pronom suffixe de la 2e personne du féminin singulier.Pour Hannig (ÄWb II, 441 {4212}), Borghouts, van der Plas (CTWI, p. 43) et Charpentier (Recueil Botanique, p. 134 [212]), même mot que jtnw-s / jṯnw-s « (un arbre) ».","['van der Molen (R.), A Hieroglyphic Dictionary of Egyptian Coffin Texts, ProblÄg 15, 2000.', None, None]"
ID 10104,jtnw-s / jṯnw-s,"Published the Jul 27, 2020 at 15:09",problematic,https://app.vega-lexique.fr/api/files/afead58d-b664-4ca1-9673-8b2a6cbbbe2a.svg,(ein Baum),(شجرة ما),(a tree),(un arbre),Attesté seulement dans les Textes des Sarcophages.Translittération incertaine.Arbre associé à la déesse Hathor.Aussi employé en tant que théonyme et en tant que toponyme désignant un lieu de culte de cette déesse.Pastille rouge pour le TLA qui renvoie à jṯnw-sw « celui qui est plaint (?) ».Voir également jtnw / jṯnw / jṯnwt « (un arbre) ».,"['van der Molen (R.), A Hieroglyphic Dictionary of Egyptian Coffin Texts, ProblÄg 15, 2000.', 'Hannig (R.), Ägyptisches Wörterbuch II. Mittleres Reich und Zweite Zwischenzeit (HannLex 5), KAW 112, 2006 (2 vol.).', 'Meeks (D.), Année Lexicographique. Égypte ancienne, 2e éd., Paris, 1998 (3 vol.).', 'Borghouts (J.Fr.), van der Plas (D.), Coffin Texts Word Index, PIREI 6, 1998.', 'Leitz (Chr.) et al., Lexikon der ägyptischen Götter und Götterbezeichnungen, OLA 110-116, 2002 (7 vol.).', None]"
ID 10105,jtr,"Published the Jan 17, 2024 at 16:18",validated,https://app.vega-lexique.fr/api/files/570b5fca-3564-41e3-8dc0-69d4289d3121.svg,"Papyrus; Papyrusstreifen, Papyrusfaser",بردي ؛ شَريط من البردي ، لِيف من البردي,"papyrus; papyrus strip, papyrus fibre","papyrus ; bande de papyrus, fibre de papyrus","Attesté seulement aux époques ptolémaïque et romaine.Désigne le papyrus en tant que plante, mais aussi en tant que fibre végétale utilisée pour la fabrication des feuilles de papyrus sur lesquelles les Égyptiens écrivaient.Graefe (« wnḫ “lösen” (zu pHarris 500, 5.12-6.2 und pD’Orb. 5.1-2) », SAK 7, 1979, p. 56 et n. 11) et Wilson (PL, p. 128) rapprochent ce terme de jdr « lien, cordelette », qui pourrait être le même mot à l’origine.Noter que Cauville (DendIndex X, p. 79) propose également la traduction « cordelette ».","['Erman (A.), Grapow (H.), Wörterbuch des Ægyptischen Sprache im Auftrage der Deutschen Akademien, Leipzig, 1935-1959 (réimpr. 1971) (5 vol.).', 'Wilson (P.), A Ptolemaic Lexicon. A Lexicographical Study of the Texts in the Temple of Edfu, OLA 78, 1997.', 'Cauville (S.), Le temple de Dendara. Les chapelles osiriennes – Index, BiEtud 119, 1997.', None, None, 'Erichsen (W.), Demotisches Glossar, Copenhague, 1954.', 'Johnson (J.) (éd.), The Demotic Dictionary of the Oriental Institute of the University of Chicago, Chicago, 2002.']"
ID 10106,jtr,"Published the Jul 27, 2020 at 15:11",validated,https://app.vega-lexique.fr/api/files/0c79cbc1-6481-4de8-bf24-60fd23f3ac26.svg,doch,إذًا,then,donc,"Variante de la particule enclitique de renforcement tr / t{r}j / ty, le plus souvent employée dans les propositions interrogatives.Pastille rouge pour le TLA qui renvoie à cette particule.","['Erman (A.), Grapow (H.), Wörterbuch des Ægyptischen Sprache im Auftrage der Deutschen Akademien, Leipzig, 1935-1959 (réimpr. 1971) (5 vol.).', None]"
ID 10107,jtr.t,"Published the Nov 17, 2023 at 10:58",validated,https://app.vega-lexique.fr/api/files/a3625c07-ff4b-4ba5-8c0d-739997268951.svg,"Heiligtum, Kapelle; Niche",مكان مُقَدس ، مقصورة ؛ كوة ، رُكن,"sanctuary, shrine, chapel; niche","sanctuaire, chapelle ; niche","Notamment dans les constructions et expressions :jtr.t ʿȝ.t « le grand sanctuaire, la grande chapelle » ;jtr.t wr.t « le sanctuaire vénérable, la chapelle vénérable » ;jtr.t mḥt(y).t « le sanctuaire du Nord » (désignation du Pr-nsr « Per-néser » ou du Pr-nw « Per-nou » à Bouto) ;jtr.t šmʿ.t « le sanctuaire du sud » (désignation du Pr-wr « Per-our » à Elkab) ;jtr.ty ȝḫ.t « les deux sanctuaires de l’horizon » ;m-jtr.ty « autour de, des deux côtés de » ;šny.t jtr.ty « cour des deux côtés ».Souvent employé au duel (jtr.ty ; cf. 4e et 5e graphies) avec les sens suivants :« les deux côtés, les deux rangées, les deux rangs ; l’entourage (de quelqu’un) » ;« les deux rangées de chapelles » ;« les deux sanctuaires (de Haute et Basse-Égypte) » ;« tous les dieux de l’Égypte » ;« toute l’Égypte » (désignation de l’ensemble des sanctuaires de l’Égypte).Selon Gardiner (« Horus the Beḥdetite », JEA 30, 1944, p. 27), ce terme serait à mettre en relation avec jtrw « fleuve, Nil ; bras du Nil, canal » et signifierait fondamentalement « ligne » ou « rangée, rang ».Voir jtr.t « coffre », qui serait le même mot selon Faulkner (CD) et Meeks (AnLex 78.0557).Cf. également jpt.t « chœur (?) ».","['Erman (A.), Grapow (H.), Wörterbuch des Ægyptischen Sprache im Auftrage der Deutschen Akademien, Leipzig, 1935-1959 (réimpr. 1971) (5 vol.).', 'Faulkner (R.O.), A Concise Dictionary of Middle Egyptian, Oxford, 1962.', 'Wilson (P.), A Ptolemaic Lexicon. A Lexicographical Study of the Texts in the Temple of Edfu, OLA 78, 1997.', 'Lesko (L.H.), A Dictionary of Late Egyptian, 2e éd., Berkeley, 2002-2004 (2 vol.).', 'van der Molen (R.), A Hieroglyphic Dictionary of Egyptian Coffin Texts, ProblÄg 15, 2000.', 'Hannig (R.), Ägyptisches Wörterbuch I. Altes Reich und Erste Zwischenzeit (HannLex 4), KAW 98, 2003.', 'Hannig (R.), Ägyptisches Wörterbuch II. Mittleres Reich und Zweite Zwischenzeit (HannLex 5), KAW 112, 2006 (2 vol.).', 'Meeks (D.), Année Lexicographique. Égypte ancienne, 2e éd., Paris, 1998 (3 vol.).', 'Borghouts (J.Fr.), van der Plas (D.), Coffin Texts Word Index, PIREI 6, 1998.', 'Cauville (S.), Le temple de Dendara. Les chapelles osiriennes – Index, BiEtud 119, 1997.', 'Cauville (S.), Dendara I. Traduction, OLA 81, 1998.', 'Cauville (S.), Dendara II. Traduction, OLA 88, 1999.', 'Cauville (S.), Dendara III. Traduction, OLA 95, 2000.', 'Cauville (S.), Dendara IV. Traduction, OLA 101, 2001.', 'Leitz (Chr.) et al., Lexikon der ägyptischen Götter und Götterbezeichnungen, OLA 110-116, 2002 (7 vol.).', 'Cauville (S.), Dendara V-VI. Les cryptes du temple d’Hathor II – Index phraséologique, OLA 132, 2004.', None, None, 'Johnson (J.) (éd.), The Demotic Dictionary of the Oriental Institute of the University of Chicago, Chicago, 2002.']"
ID 10108,jtr.t,"Published the Jul 27, 2020 at 15:15",validated,https://app.vega-lexique.fr/api/files/1649a68c-4c42-446e-a6a3-93d9e503b7fd.svg,"Kasten, Schrein",صندوق,box,coffre,"Désigne principalement le coffre à ouchebtis.Peut également désigner un coffre à vêtements.Pour Faulkner (CD) et Meeks (AnLex 78.0557), même mot que jtr.t « sanctuaire, chapelle ; niche ».","['Erman (A.), Grapow (H.), Wörterbuch des Ægyptischen Sprache im Auftrage der Deutschen Akademien, Leipzig, 1935-1959 (réimpr. 1971) (5 vol.).', 'Faulkner (R.O.), A Concise Dictionary of Middle Egyptian, Oxford, 1962.', 'Lesko (L.H.), A Dictionary of Late Egyptian, 2e éd., Berkeley, 2002-2004 (2 vol.).', 'Meeks (D.), Année Lexicographique. Égypte ancienne, 2e éd., Paris, 1998 (3 vol.).', 'Cauville (S.), Le temple de Dendara. Les chapelles osiriennes – Index, BiEtud 119, 1997.', None, None]"
ID 10109,jtry,"Published the Dec 4, 2023 at 17:46",wrong,https://app.vega-lexique.fr/api/files/abb51806-6ba6-4045-9ff2-85130bb66574.svg,(Bedeutung unbekannt),(معنى غير معروف),(meaning unknown),(sens inconnu),"Relevé dans les Textes des Sarcophages (CT III, 254a [226] [M35C]).À lire try ; cf. 2e graphie.Probable graphie corrompue de ṯr.w « (sens inconnu) », mentionné dans les autres versions ; cf. Hannig, ÄWb II, p. 2749 {38160} ; van der Molen, HDECT, p. 765.","['van der Molen (R.), A Hieroglyphic Dictionary of Egyptian Coffin Texts, ProblÄg 15, 2000.']"
