ID;Transliteración;Fecha de Publicación;Estado de Verificación;Categoría Gramatical;Ortografía Jeroglífica;Traducción EN;Traducción FR;Cronología;Comentario;Diccionario;Lexicons y Regular Indexes;Further References;Autor
12100;gmȝ;Published the May 28, 2023 at 2:46;validated;;"https://app.vega-lexique.fr/api/files/aa172d6c-e54e-4e40-bdbd-4025309b730a.svg
https://app.vega-lexique.fr/api/files/e492bb8a-401b-4f28-b925-22fc195a3b7f.svg";"cheekbone; temporal bone, temple";"os zygomatique ; os temporal, tempe";18th dyn;;"Wb
V, 170, 2Grundriss 7
914Faulkner, CD
289";"TLA (Lemma n°)
167200";;
12101;gmȝ.t;Published the Jun 12, 2023 at 18:33;problematic;;https://app.vega-lexique.fr/api/files/84973d38-e1be-4523-8cf3-e153ae487b63.svg;(meaning unknown);(sens inconnu);20th dyn;;"Wb
V, 170, 3";;;
12102;gmȝ.t;Published the May 28, 2023 at 13:42;validated;;"https://app.vega-lexique.fr/api/files/ca168b9a-bbf2-4eb3-9271-c05ee7013794.svg
https://app.vega-lexique.fr/api/files/33859101-a1fd-4f18-9567-6ff52e2b58b4.svg";(meaning unknown);(sens inconnu);"11th dyn
12th dyn";;"van der Molen, HDECT
687Hannig, ÄWb II
2894 {49864} (gm-mȝ.t)";"TLA (Lemma n°)
856745";;
12103;gmj;Published the Nov 13, 2024 at 16:33;validated;;"https://app.vega-lexique.fr/api/files/617d4198-2523-40a7-9870-8834d6560261.svg
https://app.vega-lexique.fr/api/files/bbedb76f-bda3-4e0f-bbfd-c23a5c0b44fd.svg";"to find, to discover; to encounter, to come across; to recognize, to find out, to examine, to establish; to obtain, to get hold; to be able, to be apt; to pick out; to use; to invent, to design; to mention";"trouver, découvrir ; rencontrer, tomber sur ; reconnaître, constater, examiner, établir ; atteindre, obtenir ; se montrer capable, apte ; choisir ; faire usage ; inventer, concevoir ; évoquer";;;"Wb
V, 166, 6-169, 8 Grundriss 7
914-919 Faulkner, CD
289Wilson, PL
1099Lesko, DLE2
II, 188-189 van der Molen, HDECT
686-687 Hannig, ÄWb I
1366-1367 {35762-35764}, {35775-35776}, {35780-35781}, {35785} Hannig, ÄWb II
2591-2596 {35762-35764}, {35775-35776}, {35780-35783}, {35785-35786}, {35790-35792}, {35794}, {35798}";"Meeks, AnLex
77.4640 ; 78.4445 ; 79.3286Borghouts, van der Plas, CTWI
298DendIndex X
593DendTrad II
698DendTrad IV
874-875 LGG
VII, 310b-311cDendTrad V-VI
497-498 Wd (s. v.)
gmj ; gmj...TLA (Lemma n°)
167210 ; 500679 ; 600238 ; 852208 ; 855820";;
12104;qȝ / qȝȝ / qȝy / qȝw;Published the Nov 30, 2023 at 13:40;validated;;"https://app.vega-lexique.fr/api/files/e6607ad5-dfa8-4ff3-a6f1-fa9488ad93f1.svg
https://app.vega-lexique.fr/api/files/e0dbfb10-13b2-4da5-854f-57833816f77d.svg";hill, mound, primeval hill;colline, monticule, colline primordiale;;;"Wb
V, 1, 1 (qȝ) ; 4, 14 (qȝw) ; 5, 3-6 (qȝȝ, qȝy) ; 6 (qȝy)Faulkner, CD
275 (qȝȝ)Wilson, PL
1043 (q)van der Molen, HDECT
644 (qȝ, qȝȝ) ; 645 (qȝw)Hannig, ÄWb I
1327-1328 {33901-33902} (qȝȝ)Hannig, ÄWb II
2506 {33901-33902} (qȝȝ)";"Meeks, AnLex
78.4234 (qȝȝ) ; 79.3093 (qȝȝ)Borghouts, van der Plas, CTWI
287 (qȝȝ) ; 288 (qȝqȝ)LGG
VII, 174b-c (qȝw, qȝȝ, qȝyt)Wd (s. v.)
qȝȝTLA (Lemma n°)
158980 (qȝ) ; 159020 (qȝw) ; 159060 (qȝȝ) ; 159130 (qȝj)";;
12105;ḫȝ;Published the Nov 16, 2023 at 15:39;validated;;https://app.vega-lexique.fr/api/files/c535259b-0a49-41fc-867b-74336cfd3245.svg;(a check-mark);(une coche);;;"Hannig, ÄWb II
2917 {46801}";"TLA (Lemma n°)
600515";;
12106;qȝ / qȝ(j)w;Published the Jul 7, 2023 at 14:38;validated;;"https://app.vega-lexique.fr/api/files/1b88539f-535d-45f8-9fb6-4695c40b2f34.svg
https://app.vega-lexique.fr/api/files/9d6c370b-b26e-4b1e-a537-0b74450fa8ab.svg";swelling (?), inflammation (?);enflure (?), inflammation (?);12th dyn;;"van der Molen, HDECT
645 (qȝ) ; 647 (qȝm)";"Borghouts, van der Plas, CTWI
287 (qȝ(j)w)TLA (Lemma n°)
856012 (qȝw)";;
12107;qȝ;Published the Jan 15, 2024 at 18:06;problematic;;https://app.vega-lexique.fr/api/files/809d3f5f-de45-4c79-a668-b5f2b06879ac.svg;to exalt (?);exalter (?);;;"van der Molen, HDECT
645";;;
12108;ḫȝ.w;Published the Apr 5, 2024 at 22:48;wrong;;https://app.vega-lexique.fr/api/files/f5d51b68-1c38-433c-8fa3-188f843b7c43.svg;(accessories of the lamp);(accessoires de lampe);22nd dyn;;"Wb
III, 221, 11";"TLA (Lemma n°)
113340";;
12109;ḫȝty;Published the Jul 5, 2024 at 16:56;validated;;"https://app.vega-lexique.fr/api/files/848dfa81-f1fe-41f8-8cd4-742105b80f3f.svg
https://app.vega-lexique.fr/api/files/4dd3ab2f-6f1a-48b3-b48d-17866545bdf4.svg";"office, bureau (?); hall, forecourt (?)";"bureau (?) ; hall, cour (?)";"18th dyn
20th dyn";;"Wb
III, 222, 5Faulkner, CD
185Lesko, DLE2
I, 350";"Meeks, AnLex
77.2958";;
